gene,clone1_exp,clone2_exp,log2_fc,fdr
Ippk,0.00710786667947363,0.0149700598802395,-1.07459146573498,0.000114591869152268
Calml4,0.00268946306790894,0.00798403193612774,-1.56979931369781,0.000115760182035392
Tmem119,0.00691576217462299,0.00259481037924152,1.41425914243317,0.000116096823719702
Itga10,0.00691576217462299,0.00259481037924152,1.41425914243317,0.000118418574965286
Purg,0.00585918739794448,0.012375249500998,-1.07868511369204,0.000120789832083611
Tmem129,0.00441840361156469,0.00898203592814371,-1.02351728114071,0.000121520989817103
Gm10130,0.00422629910671405,0.00918163672654691,-1.11935647828777,0.000129873327639596
Rasl11b,0.00758812794160023,0.0153692614770459,-1.01823193338585,0.000134069150879789
Spata1,0.0064355009124964,0.0143712574850299,-1.15906195185259,0.000137469101203739
Tgfa,0.00451445586399001,0.0119760479041916,-1.40752788479893,0.00014149212664176
Trpv2,0.0059552396503698,0.00259481037924152,1.19853045137773,0.000141928291925486
Klhl25,0.00461050811641533,0.00978043912175649,-1.0849734842621,0.000143806296546823
Zfp111,0.00355393333973682,0.00878243512974052,-1.3052043938764,0.000144290439334914
Cnnm4,0.00518682163096725,0.0111776447105788,-1.10769356076219,0.000145024791277518
Ccdc109b,0.00710786667947363,0.0143712574850299,-1.01569777668142,0.000146404878188879
Gm13889,0.0034578810873115,0.00838323353293413,-1.2776185622045,0.000146488251333499
Unkl,0.00451445586399001,0.0111776447105788,-1.30799221124802,0.000147054628377734
Manea,0.00288156757275958,0.00818363273453094,-1.50588754987762,0.000149000180485627
Zfp958,0.00441840361156469,0.0105788423153693,-1.25958463937424,0.000151127928336791
AU041133,0.00307367207761022,0.00818363273453094,-1.41277814548614,0.000153531223573618
Ogg1,0.00451445586399001,0.00958083832335329,-1.08559978991157,0.000154599449955856
Lrrc24,0.00902891172798002,0.00419161676646707,1.10704528803082,0.000160741704815126
C630043F03Rik,0.00413024685428873,0.00139720558882236,1.56368369177644,0.000162439533466656
Mthfr,0.00499471712611661,0.0101796407185629,-1.02721176469846,0.000167022114098509
Kifc5b,0.00672365766977236,0.0135728542914172,-1.01340596517343,0.000167407979224598
Gm4790,0.00384209009701277,0.00878243512974052,-1.19272966461799,0.000168442027377465
Zfp335,0.00461050811641533,0.0103792415169661,-1.17070335828799,0.000169669075388408
Klhl15,0.00480261262126597,0.0103792415169661,-1.11180966923442,0.000169830933906575
Zfp362,0.00528287388339257,0.0107784431137725,-1.02875392950686,0.00017132584306499
Spa17,0.00326577658246086,0.00798403193612774,-1.28969139450508,0.0001718085813543
