xcoord,ycoord,dna_cluster
2978.495,3009.63,0
2539.225,873.665,2
3434.86,1504.36,2
2900.755,3082.04,0
3506.295,1825.46,2
3219.19,1796.73,2
1054.235,2910.895,0
1338.87,2158,2
2316.86,3141.45,0
2157.675,3265.08,0
2691.975,986.765,2
2407.535,2959.385,3
1923.87,988.91,2
2653.3,1893.775,1
2503.67,2701.465,3
2669.875,2763.995,3
2466.23,2944.565,3
2967.835,1125.28,2
2877.29,1335.555,2
2530.645,2742.22,3
2982.46,1419.34,2
2274.87,3008.85,3
2216.37,3319.55,0
2684.37,2799.16,3
3300.31,1291.29,2
3076.19,2098.59,2
1896.115,3343.73,0
2708.615,2341.56,2
2366.26,3046.68,3
1348.685,2430.48,2
2246.4,3206.515,0
1973.14,3386.63,0
3052.53,1410.695,2
1992.9,3299.92,0
2240.16,3096.34,3
3268.72,1236.235,1
3501.745,1945.19,2
2851.16,2296.84,2
3212.3,1824.095,2
2480.92,935.87,2
2547.35,2827.76,3
1040.52,3010.28,0
3186.82,1722.11,2
1885,3171.22,0
2315.885,3096.145,0
2425.41,3019.38,3
2801.175,2405.13,2
1130.155,2694.12,2
2170.61,3197.09,0
2574.39,936.715,2
2737.41,2387.71,2
2887.365,937.17,2
3442.01,1625.91,2
2931.24,1816.165,2
2328.95,3395.86,0
1036.685,2398.045,2
2571.4,2799.03,3
2859.22,1341.535,2
1112.15,2198.235,2
1995.11,3140.085,0
2805.4,2520.895,1
2512.445,2966.795,3
2264.86,3461.38,0
2642.445,2958.02,3
2949.635,1539.005,2
3058.185,1121.9,2
2656.81,2879.11,3
2654.99,2709.07,3
3110.835,1770.665,2
3090.23,1559.805,3
2949.57,1157.39,2
3264.43,1622.855,2
2100.8,3017.235,3
3096.08,1274.52,0
2909.075,2503.865,0
982.865,2511.015,2
2118.87,2790.775,3
3215.875,1696.37,3
1311.635,3034.915,0
3114.865,1645.28,2
1197.82,3171.35,0
1400.815,2667.925,2
2980.575,973.31,2
2029.82,745.875,2
2563.47,1737.775,2
1327.235,3223.025,0
1190.67,3071.705,0
1432.73,3330.86,0
3178.435,1667.77,3
2270.905,3183.115,0
3302.65,1818.635,0
2064.075,872.885,2
2273.375,3406.52,0
2352.935,3332.745,0
2887.17,1414.53,2
958.425,2911.415,0
2493.4,3069.495,3
2288.39,2769.065,3
2379.455,3427.58,0
3091.92,1773.655,2
3537.3,1859.65,2
2153.58,2852.72,3
2952.3,1178.06,2
2313.48,2922.53,0
2778.75,2500.095,1
3378.375,1499.42,2
2913.105,1165.32,2
2576.665,2944.76,3
709.605,1395.875,2
2102.425,2846.48,3
1991.34,3352.44,0
2972.905,2076.23,2
2343.77,2882.62,3
1063.075,2625.415,2
1979.445,3284.71,0
3365.895,1472.64,2
901.16,2112.5,2
3466.97,1997.255,2
2761.915,902.98,2
3150.095,1579.63,3
2989.09,1220.18,2
3071.9,2126.8,0
1252.94,2602.405,2
2051.92,2976.09,3
3185.52,1538.485,3
2352.74,3388.255,0
2372.825,3285.945,0
2538.055,2714.27,3
3006.575,1191.06,2
2252.25,3028.35,3
1160.51,2755.285,2
2771.21,952.77,0
2233.205,3369.925,0
1969.565,3462.875,0
2837.51,1153.88,2
2639.975,1840.605,1
2973.425,1556.75,2
1252.225,2576.86,2
3431.935,1928.225,2
3209.895,1751.36,2
2400.255,2953.6,3
2318.29,3200.47,0
1379.625,2670.395,0
2121.73,3218.02,0
2160.015,3193.255,0
3054.35,1778.4,2
2490.605,2681.705,3
2424.89,2830.49,3
2660.515,1075.62,2
2896.79,1333.54,2
2120.69,3334.175,0
2029.82,3243.63,0
2896.66,2396.55,2
2590.38,1135.745,2
2869.49,1040,2
990.925,2966.145,0
2115.1,2854.475,3
3008.72,1520.545,2
800.865,2654.99,0
3445.975,2133.43,2
2342.795,3440.58,0
1344.2,2514.07,2
2461.16,3427.71,0
2953.47,1340.105,2
706.29,2532.205,0
2378.025,2887.56,3
2056.99,2929.03,3
2390.245,2868.71,3
2915.835,1086.605,0
2776.865,2392.715,0
2753.985,2810.275,3
1457.495,2977.91,2
1277.705,2695.875,0
2751.645,1215.24,0
3087.825,1154.92,2
1149.33,2543.905,2
1672.45,1890.005,0
2923.765,1595.62,2
3094,1544.27,3
2424.11,3445.26,0
3248.05,1306.63,1
718.055,2338.115,2
2325.245,2920.19,3
2564.445,2835.56,3
2605.525,3283.215,0
1973.92,3304.73,0
2362.49,929.89,2
2748.785,2270.58,2
1978.795,3432.195,0
3004.69,1576.9,2
1972.75,3324.1,0
1404.78,3195.465,0
1994.655,3049.475,3
1449.435,1803.555,2
2416.7,3000.335,0
2561.715,1773.46,2
3006.575,1271.855,2
2739.62,2745.275,3
2133.17,3429.985,0
2714.4,1819.025,2
3458.455,1577.16,2
3172.26,1645.54,0
2491.97,2698.67,0
2067.065,3272.49,0
1228.565,2517.255,2
3141.125,1715.155,2
2611.375,2788.76,3
3506.165,1989.585,2
2730.39,2252.705,2
3368.43,1430.585,2
2862.6,1516.255,2
2475.98,3094.975,3
2670.72,2314.91,2
2292.355,2959.97,3
2253.095,2824.055,3
2328.105,560.027,1
2426.645,3435.315,0
2136.875,2951.52,3
1940.51,1184.43,2
2876.835,2338.83,2
2413.06,2751.19,3
2064.985,3293.29,0
2443.35,854.36,2
3089.645,1458.015,2
2035.02,3142.425,3
2578.81,2766.855,3
2822.365,1633.125,2
2749.89,923.78,2
3324.295,1455.805,2
2172.95,2805.79,3
2102.75,3364.985,0
1256.06,3263.13,0
2510.365,2978.82,3
2621.775,1104.09,2
2258.555,2781.09,3
964.015,2935.985,0
2780.895,1646.645,1
3252.145,1827.085,2
2203.695,3109.015,3
2558.14,3221.53,0
2056.08,3409.835,0
3074.565,1778.92,2
2391.35,3441.36,0
3047.785,1257.165,2
3293.615,1386.45,1
2596.36,1061.32,2
1152.84,2295.02,2
1119.235,2985.645,0
2313.415,3026.4,3
2669.55,3212.95,0
2349.62,2940.535,3
3084.12,1581.19,0
3387.475,2138.695,0
3211.39,1684.28,3
2051.14,3213.145,0
3422.705,1935.44,2
2464.67,1027.65,2
961.805,2826.59,0
2062.32,2980.9,3
3436.29,1727.05,2
1019.655,2336.36,2
2308.02,2962.505,3
2920.515,1424.735,0
3431.155,1689.675,1
1825.72,667.29,2
2638.545,1094.665,2
2624.83,2842.385,3
2781.545,1940.055,2
2015.325,2818.4,3
3039.14,1307.8,2
2837.835,1739.92,1
3380.13,1952.99,2
3138.655,1374.685,3
2799.355,1577.225,1
3062.8,1279.395,2
1200.355,3121.235,0
2408.64,2853.825,0
2129.53,2865.265,3
1355.575,2546.7,2
2782.195,1246.505,2
2373.93,3135.015,0
2202.72,3283.67,0
3116.945,1201.85,2
2695.68,1245.01,1
3370.055,1625.065,1
1116.96,2504.19,2
